global_block_title,direction_title,system_title,product_group_id,product_group_title,mapped_vendors,coverage
Инженерное оборудование,ОВиК и тепловые сети,Радиаторы,bimetallic-radiators,Радиаторы биметаллические,3,covered
Инженерное оборудование,ОВиК и тепловые сети,Радиаторы,radiatory,Радиаторы,3,covered
Инженерное оборудование,ОВиК и тепловые сети,Радиаторы,konvektory,Конвекторы,2,covered
Инженерное оборудование,ОВиК и тепловые сети,Система вентиляции воздуха,air-disinfection-system,Система обеззараживания воздуха,1,covered
Инженерное оборудование,ОВиК и тепловые сети,Система вентиляции воздуха,ventilation-system,Система вентиляции,18,covered
Инженерное оборудование,ОВиК и тепловые сети,Система кондиционирования воздуха,vrf-vrv-and-split-systems,"VRF, VRV и сплит-системы",3,covered
Инженерное оборудование,ОВиК и тепловые сети,Система кондиционирования воздуха,vrf-vrv-i-split-sistemy,"VRF, VRV и сплит системы",3,covered
Инженерное оборудование,ОВиК и тепловые сети,Индивидуальный тепловой пункт,heat-exchanger-and-pumps,"Теплообменник, насосы",2,covered
Инженерное оборудование,ОВиК и тепловые сети,Тепловые завесы,teplovye-zavesy,Тепловые завесы,2,covered
Инженерное оборудование,ОВиК и тепловые сети,Тепловые сети,truba-v-ppu,Труба в ППУ,12,covered
Инженерное оборудование,Пожарная безопасность,АПС,automatic-gas-fire-extinguishing,Установки автоматического газового пожаротушения,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,automatic-fire-extinguishing-systems,Системы автоматического пожаротушения,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,autonomous-fire-extinguishing-system,Автономная система пожаротушения,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,automatic-sprinkler-fire-extinguishing,Автоматическое (спринклерное) пожаротушение,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,internal-fire-extinguishing,Внутреннее пожаротушение,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,emergency-notification-and-control-equipment,"Оборудование для экстренного уведомления и контроля (СПС, СКУД, СОТС)",2,covered
Инженерное оборудование,Пожарная безопасность,АПС,security-and-fire-alarm,Охранно-пожарная сигнализация,3,covered
Инженерное оборудование,Пожарная безопасность,АПС,soue,СОУЭ,2,covered
Инженерное оборудование,Пожарная безопасность,АПС,fire-alarm-systems,Системы пожарной сигнализации,2,covered
Инженерное оборудование,Пожарная безопасность,АПС,protivodymnaya-zaschita-i-avtomaticheskoe-pozharotushenie,Противодымная защита и автоматическое пожаротушение,2,covered
Инженерное оборудование,Пожарная безопасность,АПС,vodyanoe-pozharotushenie,Водяное пожаротушение,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,gazovoe-pozharotushenie,Газовое пожаротушение,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,poroshkovoe-pozharotushenie,Порошковое пожаротушение,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,aerozolnoe-pozharotushenie,Аэрозольное пожаротушение,1,covered
Инженерное оборудование,Пожарная безопасность,АПС,avtomaticheskoe-sprinklernoe-pozharotushenie,Автоматическое спринклерное пожаротушение,1,covered
Инженерное оборудование,Слаботочные сети и связь,Видеонаблюдение и сетевое оборудование,video-surveillance-equipment,Оборудование видеонаблюдения,1,covered
Инженерное оборудование,Слаботочные сети и связь,Видеонаблюдение и сетевое оборудование,active-lan-equipment,Активное оборудование ЛВС,2,covered
Инженерное оборудование,Слаботочные сети и связь,Видеонаблюдение и сетевое оборудование,video-surveillance-systems,Системы видеонаблюдения,1,covered
Инженерное оборудование,Слаботочные сети и связь,Кабельные сети и ВОЛС,fiber-optic-cable,Волоконно-оптический кабель,2,covered
Инженерное оборудование,Слаботочные сети и связь,Кабельные сети и ВОЛС,sks-kns-i-inzhenernoe-oborudovanie,"СКС, КНС и инженерное оборудование",1,covered
Инженерное оборудование,Слаботочные сети и связь,Системы контроля и управления доступом,access-control-equipment,Оборудование СКУД,2,covered
Инженерное оборудование,Слаботочные сети и связь,Системы контроля и управления доступом,automatic-key-issue-systems,Системы автоматической выдачи ключей,1,covered
Инженерное оборудование,Слаботочные сети и связь,Системы контроля и управления доступом,locking-devices,Запирающие устройства,1,covered
Инженерное оборудование,Слаботочные сети и связь,Системы контроля и управления доступом,skud,СКУД,2,covered
Инженерное оборудование,Слаботочные сети и связь,Системы контроля и управления доступом,sistemy-kontrolya-i-upravleniya-dostupom,Системы контроля и управления доступом,2,covered
Инженерное оборудование,Слаботочные сети и связь,Системы охранной сигнализации,intrusion-controllers-detectors,"Контроллеры, извещатели",3,covered
Инженерное оборудование,Слаботочные сети и связь,Системы охранной сигнализации,sistemy-ohrannoy-signalizatsii,Системы охранной сигнализации,3,covered
Инженерное оборудование,Слаботочные сети и связь,Системы сбора и обработки информации (ССОИ),ssoi-software-hardware-complexes,"ССОИ, Программно-аппаратные комплексы",1,covered
Инженерное оборудование,Слаботочные сети и связь,Системы автоматизации пропускного режима,pass-terminals-and-queue-systems,"Программно-аппаратные комплексы, терминалы выдачи пропусков, системы электронных очередей",2,covered
Инженерное оборудование,Слаботочные сети и связь,Системы автоматизации пропускного режима,sistemy-avtomatizatsii-propusknogo-rezhima,Системы автоматизации пропускного режима,2,covered
Инженерное оборудование,Слаботочные сети и связь,Системы периметральной охранной сигнализации,perimeter-controllers-detectors,"Контроллеры, извещатели",1,covered
Инженерное оборудование,Слаботочные сети и связь,Системы связи и диспетчеризации,telefoniya,Телефония,1,covered
Инженерное оборудование,Слаботочные сети и связь,Системы связи и диспетчеризации,sistemy-svyazi-i-dispetcherizatsii,Системы связи и диспетчеризации,4,covered
Инженерное оборудование,Слаботочные сети и связь,Системы связи и диспетчеризации,asu-inzhenernymi-setyami,АСУ инженерными сетями,4,covered
Инженерное оборудование,Слаботочные сети и связь,Системы связи и диспетчеризации,kommunikatsii-i-svyaz,Коммуникации и связь,1,covered
Инженерное оборудование,Газоснабжение,Газоанализаторы,gas-analyzers,Газоанализаторы,1,covered
Инженерное оборудование,Вертикальный транспорт,Подъемники,passenger-and-cargo-lifts,"Лифты (пассажирские, грузовые и т.д)",8,covered
Инженерное оборудование,Вертикальный транспорт,Автоматизация и диспетчеризация,elevator-dispatch-communication,Диспетчерская связь (Лифты),1,covered
Инженерное оборудование,Вертикальный транспорт,Автоматизация и диспетчеризация,avtomatizatsiya-i-dispetcherizatsiya,Автоматизация и диспетчеризация,1,covered
Инженерное оборудование,Вертикальный транспорт,Лифты,lifty,Лифты,8,covered
Инженерное оборудование,Вертикальный транспорт,Эскалаторы и траволаторы,eskalatory-i-travolatory,Эскалаторы и траволаторы,2,covered
Инженерное оборудование,Доступная среда,Подъемники,accessibility-lifts,Подъемники,1,covered
Инженерное оборудование,Доступная среда,Поручни,accessibility-handrails,Поручни,1,covered
Инженерное оборудование,Доступная среда,Пандусы,folding-ramps,Откидные,1,covered
Инженерное оборудование,Доступная среда,Рампы и трапы,accessibility-ramps-and-traps,Рампы и трапы,1,covered
Инженерное оборудование,Доступная среда,Пути движения по территории,taktilnaya-plitka,Тактильная плитка,1,covered
Инженерное оборудование,Доступная среда,Входная группа,pandusy,Пандусы,1,covered
Инженерное оборудование,Доступная среда,Парковочные места,dorozhnye-znaki,Дорожные знаки,1,covered
Инженерное оборудование,Доступная среда,Вертикальное перемещение,podemnye-platformy,Подъемные платформы,1,covered
Инженерное оборудование,Доступная среда,Информационное обеспечение,informatsionnoe-obespechenie,Информационное обеспечение,1,covered
Энергетика,ЭОМ,Электрооборудование,switchboard-and-electrical-equipment,Щитовое и электрооборудование,14,covered
Энергетика,ЭОМ,Электрооборудование,busbar-systems,Шинопроводы,3,covered
